# id	file_path	transparent_color_r	g	b
[TEXTURES]
1	textures\Jason-and-Sophia.png	0	57	115
2	textures\locust.png					255				255	255
3	textures\chowmein_conga.png				255				255	255
4	textures\jellyfish.png					255				255	255
5	textures\chumein_conga.png				255				255	255
6	textures\enormous_moray.png				255				255	255
7	textures\mini_sub_88.png				255				255	255
8	textures\marine_diver.png				255				255	255
9	textures\slog_noid.png				255				255	255
10	textures\slug_mariner.png				255				255	255
67	textures\misson-1.png	255	255	255
68	textures\marco_rossi.png				255				255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
# tiled map sprites
417	230	1005	256	1049	2
418	259	1005	285	1049	2
419	288	1005	312	1049	2
420	315	1005	338	1049	2
421	341	1005	369	1049	2
422	405	1005	435	1049	2
423	438	1005	470	1049	2
424	473	1005	504	1049	2
425	507	1005	538	1049	2
426	540	1005	572	1049	2
427	574	1005	607	1049	2
428	610	1005	639	1049	2
429	642	1005	672	1049	2
#eating
430	24	1076	92	1140	2
431	110	1076	176	1140	2
432	200	1076	262	1140	2
433	289	1076	348	1140	2
434	365	1076	424	1140	2
435	446	1076	514	1140	2
436	528	1076	592	1140	2
437	616	1076	678	1140	2
438	699	1076	753	1140	2
439	782	1076	842	1140	2
440	58	1154	89	1203	2
441	92	1154	124	1203	2
442	126	1154	160	1203	2
443	163	1154	194	1203	2
444	197	1154	227	1203	2
445	230	1154	268	1203	2
446	272	1154	309	1203	2
447	310	1154	347	1203	2
448	348	1154	382	1203	2
449	386	1154	416	1203	2
450	418	1154	442	1203	2
451	444	1154	468	1203	2
452	470	1154	494	1203	2
453	496	1154	520	1203	2
454	522	1154	547	1203	2
455	550	1154	578	1203	2
456	582	1154	610	1203	2
#death
457	58	1217	127	1281	2
458	136	1217	204	1281	2
459	214	1217	284	1281	2
460	297	1217	344	1281	2
461	360	1217	400	1281	2
462	410	1217	451	1281	2
463	67	1289	110	1358	2
464	120	1289	160	1358	2
465	170	1289	208	1358	2
466	216	1289	257	1358	2
467	270	1289	314	1358	2
468	328	1289	368	1358	2
469	380	1289	422	1358	2
470	431	1289	468	1358	2
471	482	1289	532	1358	2
472	542	1289	594	1358	2
473	606	1289	655	1358	2
474	670	1289	705	1358	2
475	58	1379	104	1428	2
476	112	1379	171	1428	2
477	181	1379	242	1428	2
478	250	1379	309	1428	2
479	318	1379	373	1428	2
480	384	1379	446	1428	2
481	455	1379	519	1428	2
482	526	1379	590	1428	2
483	596	1379	660	1428	2
484	663	1379	727	1428	2
485	50	1440	109	1469	2
486	121	1440	179	1469	2
#effects
487	47	1478	76	1570	2
488	88	1478	126	1570	2
489	146	1478	196	1570	2
490	213	1478	270	1570	2
491	284	1478	350	1570	2
492	364	1478	438	1570	2
493	446	1478	524	1570	2
494	535	1478	612	1570	2
495	620	1478	700	1570	2
496	704	1478	794	1570	2
497	60	1568	149	1656	2
498	152	1568	240	1656	2
499	262	1568	350	1656	2
#============================CHOWMEIN CONGA ============================
#idle
500	15	27	66	72	3
501	81	27	132	72	3
502	146	27	196	72	3
503	211	27	262	72	3
504	279	27	331	72	3
505	346	27	399	72	3
506	415	27	465	72	3
#walking
507	15	90	66	135	3
508	82	90	130	135	3
509	150	90	198	135	3
510	210	90	259	135	3
511	275	90	322	135	3
512	349	90	399	135	3
513	415	90	465	135	3
#jump
514	19	155	72	208	3
515	84	156	138	208	3
#turning
516	26	229	73	274	3
517	85	229	140	274	3
#attack
518	23	294	71	338	3
519	87	294	131	338	3
520	147	287	188	338	3
521	204	286	247	338	3
522	252	286	307	338	3
523	317	286	379	338	3
524	394	286	468	338	3
525	480	286	554	338	3
526	567	286	630	338	3
527	17	353	76	397	3
528	81	353	136	397	3
529	145	353	200	397	3
530	208	353	259	397	3
531	17	412	70	459	3
532	82	412	135	459	3
533	147	412	200	459	3
534	212	412	267	459	3
535	289	412	345	459	3
536	355	412	412	459	3
537	425	412	482	459	3
538	494	412	549	459	3
539	564	412	617	459	3
540	15	476	72	523	3
541	87	476	140	523	3
542	148	476	202	523	3
543	217	476	272	523	3
#eating
544	20	545	71	590	3
545	92	545	144	590	3
546	161	545	272	590	3
547	241	545	303	590	3
548	22	600	81	643	3
549	94	600	272	643	3
550	168	600	226	643	3
551	22	650	80	694	3
552	101	650	160	694	3
553	170	650	228	694	3
554	241	650	300	694	3
555	311	650	370	694	3
556	379	650	439	694	3
557	21	699	79	743	3
558	101	699	155	743	3
559	170	699	221	743	3
560	241	699	292	743	3
561	315	699	370	743	3
562	380	699	439	743	3
563	26	758	80	803	3
564	94	758	149	803	3
565	162	758	216	803	3
566	230	758	285	803	3
567	298	758	354	803	3
568	362	758	418	803	3
569	23	817	78	862	3
570	91	817	149	862	3
#death
571	27	891	81	937	3
572	94	891	146	937	3
573	160	891	214	937	3
574	232	891	288	937	3
575	28	949	99	1005	3
576	110	949	184	1005	3
577	194	949	260	1005	3
578	271	949	340	1005	3
579	354	949	422	1005	3
580	443	891	512	1005	3
581	26	1012	95	1071	3
582	102	1012	173	1071	3
583	190	1012	262	1071	3
584	278	1012	350	1071	3
585	349	1012	425	1071	3
586	437	1012	512	1071	3
587	522	1012	593	1071	3
588	28	1086	96	1137	3
589	100	1086	156	1137	3
590	170	1086	220	1137	3
591	225	1086	268	1137	3
592	273	1086	306	1137	3
593	319	1086	343	1137	3
594	357	1086	372	1139	3
595	27	891	81	937	3
596	27	891	81	937	3
597	27	891	81	937	3
598	27	891	81	937	3
599	27	891	81	937	3
600	27	891	81	937	3
#============================ JELLYFISH ===================================
#run
900	10	10	33	35	4
901	40	10	62	35	4
902	69	10	92	35	4
903	99	10	121	35	4
904	130	10	153	35	4
905	162	10	186	35	4
906	194	10	218	35	4
907	225	10	251	35	4
908	258	10	285	35	4
909	292	10	318	35	4
910	326	10	350	35	4
911	358	10	383	35	4
#death
912	12	122	35	155	4
913	44	122	69	155	4
914	76	122	101	155	4
915	107	122	134	155	4
916	137	122	168	155	4
917	174	122	208	155	4
918	212	122	246	155	4
919	251	122	285	155	4
920	291	122	324	155	4
921	331	122	366	155	4
922	12	166	45	202	4
923	56	166	81	202	4
924	89	166	113	202	4
925	121	166	139	202	4
#============================ CHUWMEIN ======================================
#idle
1001	16	67	120	149	5
1002	128	67	229	149	5
1003	252	67	350	149	5
1004	362	67	463	149	5
1005	477	67	579	149	5
1006	592	67	698	149	5
1007	710	67	814	149	5
1008	828	67	935	149	5
1009	946	67	1052	149	5
1010	1068	67	1175	149	5
1011	1185	67	1292	149	5
1012	1300	67	1406	149	5
#moving
1013	15	178	122	260	5
1014	130	178	234	260	5
1015	251	178	359	260	5
1016	370	178	475	260	5
1017	491	178	598	260	5
1018	604	178	712	260	5
1019	719	178	826	260	5
1020	834	178	938	260	5
1021	954	178	1054	260	5
1022	1068	178	1166	260	5
1023	1177	178	1278	260	5
1024	1292	178	1394	260	5
#turning
1025	32	294	134	376	5
#attack
1026	29	827	133	943	5
1027	162	827	260	943	5
1028	287	827	376	943	5
1029	406	827	486	943	5
1030	513	827	589	943	5
1031	620	827	712	943	5
1032	729	827	859	943	5
1033	874	827	1009	943	5
1034	1022	827	1156	943	5
1035	1164	827	1280	943	5
1036	1301	827	1400	943	5
1037	55	953	148	1073	5
1038	190	953	294	1073	5
1039	318	953	443	1073	5
1040	469	953	604	1073	5
1041	616	953	744	1073	5
1042	771	953	899	1073	5
1043	916	953	1045	1073	5
1044	1067	953	1188	1073	5
1045	1218	953	1326	1073	5
1046	42	1115	150	1195	5
1047	165	1115	272	1195	5
1048	290	1115	400	1195	5
1049	416	1115	526	1195	5
#death
1050	62	1231	154	1329	5
1051	168	1231	263	1329	5
1052	278	1231	377	1329	5
1053	392	1231	492	1329	5
1054	512	1231	616	1329	5
1055	633	1231	739	1329	5
1056	756	1231	862	1329	5
1057	875	1231	983	1329	5
1058	997	1231	1112	1329	5
1059	1124	1231	1241	1329	5
1060	1256	1231	1373	1329	5
1061	60	1348	180	1440	5
1062	197	1348	318	1440	5
1063	332	1348	454	1440	5
1064	472	1348	592	1440	5
1065	604	1348	725	1440	5
1066	740	1348	863	1440	5
1067	870	1348	992	1440	5
1068	996	1348	1120	1440	5
1069	1122	1348	1247	1440	5
1070	1250	1348	1376	1440	5
1071	65	1459	191	1492	5
1072	194	1459	320	1492	5
1073	328	1459	454	1492	5
1074	458	1459	582	1492	5
1075	585	1459	706	1492	5
1076	710	1459	827	1492	5
1077	830	1459	944	1492	5
1078	947	1459	1058	1492	5
1079	1060	1459	1167	1492	5
1080	1170	1459	1270	1492	5
1081	1272	1459	1362	1492	5
1082	78	1512	154	1518	5
1083	157	1512	228	1518	5
1084	232	1512	294	1518	5
1085	198	1512	350	1518	5
1086	353	1512	394	1518	5
1087	398	1512	427	1518	5
#effect
1088	80	1579	96	1594	5
1089	100	1579	116	1594	5
1090	118	1579	134	1594	5
1091	138	1579	155	1594	5
1092	158	1579	175	1594	5
1093	178	1579	195	1594	5
1094	198	1579	214	1594	5
1095	218	1579	234	1594	5
1096	238	1579	253	1594	5
1097	256	1579	272	1594	5
1098	276	1579	295	1594	5
1099	298	1579	316	1594	5
1100	320	1578	344	1609	5
1101	349	1578	382	1610	5
1102	390	67	120	149	5

#============================ ENORMOUS ======================================
#idle/attack
1103	8	60	375	200	6
1104	392	67	759	149	6
1105	780	67	1149	149	6
1106	1194	67	1562	149	6
1107	8	228	375	350	6
1108	411	228	779	350	6
1109	796	228	1163	350	6
1110	1199	228	1568	350	6
1111	8	368	377	486	6
1112	416	368	785	486	6
1113	806	368	1174	486	6
1114	1201	368	1569	486	6
1115	10	514	379	636	6
1116	414	514	782	636	6
1117	805	514	1174	636	6
1118	1205	514	1573	636	6
1119	15	649	383	770	6
1120	412	649	782	770	6
1121	809	649	1178	770	6
#crashing again the wall
1122	18	832	386	964	6
1123	419	832	786	964	6
1124	819	832	1186	964	6
1125	1219	832	1587	964	6
1126	18	1006	387	1128	6
1127	421	1006	789	1128	6
1128	817	1006	1185	1128	6
1129	1220	1006	1587	1128	6
1130	15	1172	384	1297	6
1131	427	1172	796	1297	6
1132	822	1172	1191	1297	6
1133	1218	1172	1588	1297	6
1134	29	1335	397	1461	6
1135	420	1335	789	1461	6
1136	844	1335	1212	1461	6
1137	1244	1335	1613	1461	6
1138	26	1522	395	1648 	6
1139	827	1522	794	1648	6
1140	841	1522	1210	1648	6
1141	1243	1522	1612	1648	6
1142	27	1674	394	1790	6
1143	431	1674	798	1790	6
#return
1144	32	1837	400	1958	6
1145	435	1837	802	1958	6
1146	819	1837	1188	1958	6
1147	1208	1522	1576	1648	6
1148	43	1986	413	2114	6
1149	443	1986	812	2114	6
1150	836	1986	1205	2114	6
1151	1220	1986	1588	2114	6
1152	39	2143	407	2261	6
1153	451	2143	801	2261	6

#============================ MINI SUB 88 ======================================
#swimming
1500	28	31	101	83	7
1501	120	31	194	83	7
1502	213	31	286	83	7
1503	304	31	376	83	7
1504	394	31	467	83	7
1505	27	108	100	159	7
1506	121	31	194	159	7
#turning
1507	31	199	94	255	7
1508	95	275	170	255	7
1509	185	199	238	255	7
1510	254	199	300	255	7
1511	815	199	361	255	7
1512	35	275	80	325	7
1513	96	275	145	325	7
1514	160	275	213	325	7
1515	227	275	287	325	7
1516	303	275	367	325	7
#torpedoes
1517	36	366	58	383	7
1518	67	366	90	383	7
1519	100	366	122	383	7
1520	132	366	154	383	7
1521	164	366	186	383	7
1522	195	366	218	383	7
1523	227	366	249	383	7
1524	258	366	281	383	7
1525	291	366	313	383	7
1526	324	366	346	383	7
1527	356	366	378	383	7
#effect
1528	44	400	58	432	7
1529	63	400	92	432	7
1530	101	400	140	432	7
1531	147	400	801	432	7
1532	186	400	186	432	7
1533	201	400	243	432	7
1534	39	450	77	484	7
1535	88	450	126	484	7
1536	136	450	172	484	7
1537	184	450	183	484	7
1538	225	450	255	484	7
1539	263	450	293	484	7
#get hit
1540	31	514	103	567	7
1541	117	514	190	567	7
1542	208	514	368	567	7
1543	368	514	458	567	7
1544	471	514	545	567	7
#falling apart
1545	28	600	100	658	7
1546	115	600	187	658	7
1547	202	600	276	658	7
1548	292	600	370	658	7
1549	382	600	461	658	7
1550	474	600	461	658	7
#debirs
1551	34	695	63	727	7
1552	69	695	97	727	7
1553	103	695	132	727	7
1554	140	695	168	727	7
1555	174	695	203	727	7
1556	218	695	245	727	7
1557	251	695	277	727	7
1558	282	695	308	727	7
1559	314	695	340	727	7
1560	345	695	372	727	7
1561	382	695	411	727	7
1562	418	695	448	727	7
1563	453	695	482	727	7
1564	489	695	519	727	7
1565	524	695	552	727	7
1566	34	740	61	769	7
1567	41	740	98	769	7
1568	106	740	135	769	7
1569	144	740	173	769	7
1570	181	740	210	769	7
1571	222	740	252	769	7
1572	259	740	289	769	7
1573	296	740	326	769	7
1574	332	740	362	769	7
1575	369	740	398	769	7
1576	33	778	62	808	7
1577	68	778	97	808	7
1578	102	778	131	808	7
1579	139	778	169	808	7
1580	177	778	208	808	7
1581	221	778	251	808	7
1582	260	778	288	808	7
1583	295	778	323	808	7
1584	330	778	358	808	7
1585	364	778	393	808	7
#============================ MARINER DRIVER ======================================
#deploy
1600	24	24	62	76	8
1601	94	24	134	76	8
1602	165	24	210	76	8
1603	242	24	286	76	8
1604	318	24	364	76	8
1605	396	24	444	76	8
1606	476	24	522	76	8

#idle
1607	24	102	37	147	8

#kamikaze
1608	23	186	68	229	8
1609	100	186	144	229	8
1610	176	186	221	229	8
1611	252	186	302	229	8

#effects
1612	9	363	89	445	8
1613	94	363	174	445	8
1614	177	363	251	445	8
1615	445	363	497	445	8
1616	335	363	415	445	8
1617	419	363	497	445	8
1618	501	363	580	445	8
1619	10	447	88	530	8
1620	91	447	169	530	8
1621	171	447	247	530	8
1622	249	447	327	530	8
1623	330	447	405	530	8
1624	407	447	482	530	8
1625	485	447	561	530	8
1626	9	536	84	621	8
1627	87	536	160	621	8
1628	162	536	230	621	8
1629	233	536	301	621	8
1630	304	536	372	621	8
1631	375	536	439	621	8
1632	442	536	502	621	8
1633	505	536	562	621	8
1634	10	625	68	698	8
1635	71	625	126	698	8
1636	129	625	185	698	8
1637	187	625	238	698	8
1638	243	625	289	698	8
1639	294	625	340	698	8

#============================ WEAPON ======================================
# Main character
# fly_horizontal
100001	91	20	114	27	1
# fly_vertical
100002	116	20	123	43	1
# explode
100003	140	101	148	109	1
100004	149	97	165	113	1
100005	166	97	182	113	1
100006	183	93	207	117	1

# Cannon
# bullet
100011	252	102	260	118	1
# bullet_explosion
100012	296	102	312	118	1

# Eyeball
# bullet
100013	252	102	260	118	1
# bullet_explosion
100014	296	102	312	118	1

# Floater
# bullet
100015	252	102	260	118	1
# bullet_explosion
100016	296	102	312	118	1

#Skull
#bullet_explosion
100021	166	97	182	113	1

#background
3000	0	0	2375	274	67
3001	2376	82	2888	274	67
#wave back
3002	2	277	706	325	67
3003	2	326	706	374	67
3004	2	374	706	422	67
3005	2	424	706	471	67
3006	2	473	706	521	67
3007	2	522	706	570	67
3008	2	570	706	618	67
3009	2	620	706	667	67
#wave front 
3010	2	668	564	733	67
3011	2	735	564	800	67
3012	2	800	564	866	67
3013	2	866	564	932	67
3014	2	932	564	997	67
3015	2	997	564	1064	67
3016	2	1064	564	1129	67
3017	2	1129	564	1196	67
#foreground
3500	0	1196	1609	1416	67
3501	1614	856	5171	1086	67
3502	1612	1148	2902	1282	67
#platform
3503	0	0	0	0	67
3504	0	0	0	0	67

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#=============LOCUST===========================================
#flying
600	300	50	302	50	304	50	306	50	308	50	310	50	312	50	314	50	316	50	318	50	320	50	322	50	324	50	326	50	328	50	330	50	332	50	334	50	336	50	338	50
#turning
601	340	50	341	50	342	50	343	50	344	50	345	50	346	50	347	50	348	50	349	50	350	50	351	50	352	50	353	50
#preparing attack
602	354	50	355	50	356	50	357	50	358	50	359	50	360	50	361	50	362	50	363	50	364	50	365	50	366	50	367	50	368	50	369	50	370	50	371	50	372	50	373	50
#attack
603	373	50	374	50	375	50	376	50	377	50	378	50	379	50	380	50	381	50	382	50	383	50	384	50	385	50	386	50	387	50	388	50	389	50	390	50	391	50
#catch the player
604	392	50	394	50	396	50	398	50	400	50	402	50	404	50	406	50	408	50	410	50	412	50	414	50	416	50	418	50	420	50	422	50	424	50	426	50	428	50
#eating
605	430	50	432	50	434	50	436	50	438	50	440	50	442	50	444	50	446	50	448	50	450	50	452	50	454	50	456	50
#death
606	457	50	459	50	461	50	463	50	465	50	467	50	469	50	471	50	473	50	475	50	477	50	479	50	481	50	483	50	485	50
#effects
607	487	50	488	50	489	50	490	50	491	50	492	50	493	50	494	50	495	50	496	50	497	50	498	50	499	50
#============CHOWMEIN CONGA ==================================
#idle
611	500	50	501	50	502	50	503	50	504	50	505	50	506	50
#walking
612	507	50	508	50	509	50	510	50	511	50	512	50	513	50
#jump
613	514	50	515	50
#turning
614	516	50	517	50
#attack
615	518	50	519	50	520	50	521	50	522	50	523	50	524	50	525	50	526	50	527	50	528	50	529	50	530	50	531	50	532	50	533	50	534	50	535	50	536	50	537	50	538	50	539	50	540	50	541	50	542	50	543	50
#eating
616	544	50	545	50	546	50	547	50	548	50	549	50	550	50	551	50	552	50	553	50	554	50	555	50	556	50	557	50	558	50	559	50	560	50	561	50	562	50	563	50	564	50	565	50	566	50	567	50	568	50	569	50	570	50
#death
617	571	50	572	50	573	50	574	50	575	50	576	50	577	50	578	50	579	50	580	50	581	50	582	50	583	50	584	50	585	50	586	50	587	50	588	50	589	50	590	50	591	50	592	50	593	50	594	50	595	50	596	50	597	50	598	50	599	50	600	50
#============JELLYFISH =======================================
#run
620	900	50	901	50	902	50	903	50	904	50	905	50	906	50	907	50	908	50	909	50	910	50	911	50
#death
621	912	50	913	50	914	50	915	50	916	50	917	50	918	50	919	50	920	50	921	50	922	50	923	50	924	50	925	50
#============CHUWMEIN ========================================
#idle
622	1001	50	1002	50	1003	50	1004	50	1005	50	1006	50	1007	50	1008	50	1009	50	1010	50	1011	50	1012	50
#moving
623	1013	50	1014	50	1015	50	1016	50	1017	50	1018	50	1019	50	1020	50	1021	50	1022	50	1023	50	1024	50
#turning
624	1025	50
#attack
625	1026	50	1027	50	1028	50	1029	50	1030	50	1031	50	1032	50	1033	50	1034	50	1035	50	1036	50	1037	50	1038	50	1039	50	1040	50	1041	50	1042	50	1043	50	1044	50	1045	50	1046	50	1047	50	1048	50	1049	50
#death
626	1050	50	1051	50	1052	50	1053	50	1054	50	1055	50	1056	50	1057	50	1058	50	1059	50	1060	50	1061	50	1062	50	1063	50	1064	50	1065	50	1066	50	1067	50	1068	50	1069	50	1070	50	1071	50	1072	50	1073	50	1074	50	1075	50	1076	50	1077	50	1078	50	1079	50	1080	50	1081	50	1082	50	1083	50	1084	50	1085	50	1086	50	1087	50
#effect
